,cohort_year,division,division_name,students_in_cohort,graduation_rate,dropout_rate,income_per_capita,prev_year_teacher_salary,curr_year_teacher_salary,teacher_salary_diff
54,2019,56,Madison County,128,92.97%,3.13%,48577.0,43419.0,43920.0,1.15
55,2019,57,Mathews County,94,90.43%,6.38%,57844.0,44478.0,48056.0,8.04
56,2019,58,Mecklenburg County,326,90.18%,6.13%,38481.0,44424.0,45533.0,2.5
57,2019,59,Middlesex County,96,96.88%,3.13%,53553.0,46124.0,47336.0,2.63
58,2019,60,Montgomery County,749,95.99%,3.20%,38756.0,52111.0,51911.0,-0.38
59,2019,62,Nelson County,163,89.57%,3.68%,51297.0,53745.0,55461.0,3.19
60,2019,63,New Kent County,241,90.87%,3.73%,75221.0,47200.0,51274.0,8.63
61,2019,65,Northampton County,120,90.00%,7.50%,51101.0,44266.0,45588.0,2.99
62,2019,66,Northumberland County,114,96.49%,1.75%,54616.0,50922.0,51093.0,0.34
63,2019,67,Nottoway County,147,85.71%,13.61%,36295.0,47043.0,47229.0,0.4
64,2019,68,Orange County,372,93.82%,3.76%,50642.0,49447.0,49185.0,-0.53
65,2019,69,Page County,282,96.81%,1.06%,39633.0,46911.0,47367.0,0.97
66,2019,70,Patrick County,182,95.60%,3.30%,34541.0,44198.0,43476.0,-1.63
67,2019,71,Pittsylvania County,735,90.88%,7.62%,39392.0,45402.0,47613.0,4.87
68,2019,72,Powhatan County,377,93.37%,2.92%,58609.0,55313.0,55824.0,0.92
69,2019,73,Prince Edward County,173,85.55%,8.09%,32416.0,41302.0,42825.0,3.69
70,2019,74,Prince George County,436,92.20%,4.36%,39359.0,51148.0,51759.0,1.19
71,2019,75,Prince William County,6884,92.40%,5.91%,,65902.0,65761.0,-0.21
72,2019,77,Pulaski County,344,91.57%,4.07%,41311.0,45312.0,45170.0,-0.31
73,2019,78,Rappahannock County,77,94.81%,1.30%,68382.0,51136.0,51811.0,1.32
74,2019,79,Richmond County,97,96.91%,1.03%,37741.0,49860.0,47913.0,-3.9
75,2019,80,Roanoke County,1108,94.86%,3.70%,53489.0,51942.0,51397.0,-1.05
76,2019,81,Rockbridge County,257,90.66%,6.23%,,50873.0,53290.0,4.75
77,2019,82,Rockingham County,922,94.25%,4.34%,41312.0,49469.0,51658.0,4.42
78,2019,83,Russell County,290,92.41%,5.86%,34827.0,39067.0,39475.0,1.04
79,2019,84,Scott County,282,93.97%,4.26%,34589.0,46069.0,46641.0,1.24
80,2019,85,Shenandoah County,475,95.16%,2.74%,46680.0,48284.0,49121.0,1.73
81,2019,86,Smyth County,339,95.28%,2.06%,38090.0,43911.0,43961.0,0.11
82,2019,87,Southampton County,219,90.41%,6.85%,44215.0,46782.0,47036.0,0.54
83,2019,88,Spotsylvania County,1917,93.17%,3.91%,52157.0,54284.0,54248.0,-0.07
84,2019,89,Stafford County,2377,93.86%,4.29%,56346.0,56462.0,52618.0,-6.81
85,2019,90,Surry County,64,93.75%,3.13%,44647.0,51912.0,51239.0,-1.3
86,2019,91,Sussex County,78,82.05%,10.26%,32383.0,50720.0,52546.0,3.6
87,2019,92,Tazewell County,396,92.17%,4.80%,39276.0,37116.0,37440.0,0.87
88,2019,93,Warren County,422,94.55%,2.84%,47932.0,48717.0,49146.0,0.88
89,2019,94,Washington County,568,93.66%,2.64%,41513.0,49314.0,46349.0,-6.01
90,2019,95,Westmoreland County,125,92.80%,3.20%,45782.0,46103.0,47558.0,3.16
91,2019,96,Wise County,480,98.54%,1.46%,34196.0,46917.0,41324.0,-11.92
92,2019,97,Wythe County,333,96.10%,1.50%,36695.0,47165.0,46521.0,-1.37
93,2019,98,York County,972,97.02%,2.26%,61308.0,52505.0,53115.0,1.16
94,2019,101,Alexandria City,962,83.47%,7.69%,,74738.0,74201.0,-0.72
95,2019,102,Bristol City,188,84.04%,6.91%,41513.0,46844.0,46630.0,-0.46
96,2019,103,Buena Vista City,111,90.09%,4.50%,,43986.0,45122.0,2.58
97,2019,104,Charlottesville City,281,95.73%,1.78%,77657.0,59231.0,61072.0,3.11
98,2019,106,Colonial Heights City,232,93.97%,3.88%,,50601.0,51007.0,0.8
99,2019,107,Covington City,86,88.37%,4.65%,40928.0,54448.0,53329.0,-2.06
100,2019,108,Danville City,426,81.69%,9.62%,39392.0,48665.0,48546.0,-0.24
101,2019,109,Falls Church City,207,98.07%,.00%,,77157.0,88323.0,14.47
102,2019,110,Fredericksburg City,266,84.21%,11.28%,,54054.0,56539.0,4.6
103,2019,111,Galax City,101,89.11%,4.95%,36812.0,48092.0,47659.0,-0.9
104,2019,112,Hampton City,1501,92.67%,1.40%,,50312.0,51355.0,2.07
105,2019,113,Harrisonburg City,456,88.60%,9.43%,41312.0,45791.0,46501.0,1.55
106,2019,114,Hopewell City,285,85.61%,7.72%,39359.0,47714.0,47874.0,0.34
107,2019,115,Lynchburg City,592,84.12%,9.29%,38565.0,46794.0,49275.0,5.3
108,2019,116,Martinsville City,150,90.00%,7.33%,40545.0,44585.0,45858.0,2.86
109,2019,117,Newport News City,1863,95.06%,1.72%,,52838.0,52854.0,0.03
110,2019,118,Norfolk City,1935,82.89%,10.70%,,50235.0,50223.0,-0.02
111,2019,119,Norton City,55,90.91%,5.45%,34196.0,43755.0,40676.0,-7.04
112,2019,120,Petersburg City,288,83.68%,9.03%,,46387.0,45031.0,-2.92
113,2019,121,Portsmouth City,1020,84.90%,9.31%,,52428.0,53725.0,2.47
114,2019,122,Radford City,132,96.21%,2.27%,38756.0,50482.0,50936.0,0.9
115,2019,123,Richmond City,1517,70.80%,24.13%,,49079.0,51530.0,4.99
116,2019,124,Roanoke City,916,89.96%,7.97%,,51061.0,53687.0,5.14
117,2019,126,Staunton City,198,90.91%,4.55%,,48085.0,49033.0,1.97
118,2019,127,Suffolk City,1031,90.49%,4.07%,,56232.0,58270.0,3.62
119,2019,128,Virginia Beach City,5142,93.87%,2.98%,,54577.0,55183.0,1.11
120,2019,130,Waynesboro City,225,88.44%,6.67%,,47286.0,47363.0,0.16
121,2019,131,Williamsburg-James City County,959,92.70%,3.96%,,53800.0,54435.0,1.18
122,2019,132,Winchester City,352,89.49%,7.10%,52317.0,55152.0,55973.0,1.49
123,2019,135,Franklin City,77,96.10%,1.30%,,45716.0,45966.0,0.55
124,2019,136,Chesapeake City,3241,93.80%,3.12%,,57524.0,53516.0,-6.97
125,2019,139,Salem City,338,95.27%,2.07%,53489.0,57387.0,58418.0,1.8
126,2019,142,Poquoson City,180,92.22%,2.78%,61308.0,51352.0,51339.0,-0.03
127,2019,143,Manassas City,575,77.74%,15.83%,,64390.0,65211.0,1.28
128,2019,144,Manassas Park City,307,89.25%,9.45%,,59208.0,59171.0,-0.06
129,2019,202,Colonial Beach,47,100.00%,.00%,,50502.0,51764.0,2.5
130,2019,207,West Point,65,96.92%,1.54%,,41285.0,36696.0,-11.12
0,2018,1,Accomack County,383,85.90%,9.14%,41826.0,44339.0,47512.0,7.16
1,2018,2,Albemarle County,1130,92.74%,5.04%,76342.0,55281.0,55707.0,0.77
2,2018,3,Alleghany County,204,93.63%,3.43%,39628.0,48391.0,48802.0,0.85
3,2018,4,Amelia County,134,90.30%,4.48%,43272.0,51473.0,50012.0,-2.84
4,2018,5,Amherst County,311,93.25%,4.50%,37142.0,46323.0,45675.0,-1.4
5,2018,6,Appomattox County,194,93.81%,3.61%,38217.0,40052.0,40531.0,1.2
6,2018,7,Arlington County,1568,92.16%,5.04%,96881.0,76942.0,78617.0,2.18
7,2018,8,Augusta County,792,94.82%,2.65%,,48610.0,49210.0,1.23
8,2018,9,Bath County,47,93.62%,2.13%,63689.0,47911.0,47828.0,-0.17
9,2018,10,Bedford County,814,91.77%,5.28%,46579.0,43210.0,43784.0,1.33
10,2018,11,Bland County,62,95.16%,4.84%,36956.0,42245.0,46839.0,10.87
11,2018,12,Botetourt County,380,95.26%,1.84%,50359.0,51584.0,53292.0,3.31
12,2018,13,Brunswick County,133,88.72%,4.51%,32347.0,40649.0,40655.0,0.01
13,2018,14,Buchanan County,221,90.05%,4.98%,35495.0,45037.0,43750.0,-2.86
14,2018,15,Buckingham County,127,95.28%,3.94%,30076.0,43398.0,45461.0,4.75
15,2018,16,Campbell County,622,91.48%,3.05%,37826.0,45822.0,45118.0,-1.54
16,2018,17,Caroline County,292,88.01%,4.11%,41569.0,48038.0,48486.0,0.93
17,2018,18,Carroll County,286,91.26%,5.59%,35843.0,44025.0,46844.0,6.4
18,2018,19,Charles City County,49,89.80%,10.20%,45264.0,40452.0,45142.0,11.59
19,2018,20,Charlotte County,163,88.96%,7.36%,,44762.0,47306.0,5.68
20,2018,21,Chesterfield County,4868,90.88%,6.90%,53702.0,50697.0,48696.0,-3.95
21,2018,22,Clarke County,159,99.37%,.63%,65443.0,52019.0,47252.0,-9.16
22,2018,23,Craig County,67,88.06%,5.97%,38183.0,41456.0,42702.0,3.0
23,2018,24,Culpeper County,656,92.07%,4.73%,46303.0,49140.0,50069.0,1.89
24,2018,25,Cumberland County,103,94.17%,2.91%,37723.0,47303.0,47055.0,-0.52
25,2018,26,Dickenson County,162,91.36%,6.79%,32311.0,40667.0,39099.0,-3.86
26,2018,27,Dinwiddie County,349,87.68%,7.16%,,49021.0,51589.0,5.24
27,2018,28,Essex County,119,93.28%,5.88%,41761.0,46718.0,47171.0,0.97
28,2018,29,Fairfax County,14491,91.50%,7.11%,,66084.0,68883.0,4.24
29,2018,30,Fauquier County,972,96.09%,2.16%,70571.0,55298.0,54371.0,-1.68
30,2018,31,Floyd County,183,97.81%,2.19%,38532.0,45484.0,44563.0,-2.02
31,2018,32,Fluvanna County,293,95.56%,2.05%,44290.0,53498.0,52651.0,-1.58
32,2018,33,Franklin County,510,90.00%,7.06%,,48223.0,49217.0,2.06
33,2018,34,Frederick County,1087,93.28%,4.60%,50774.0,53806.0,54180.0,0.7
34,2018,35,Giles County,205,92.68%,6.83%,39681.0,41882.0,42168.0,0.68
35,2018,36,Gloucester County,459,92.59%,2.40%,50096.0,48091.0,51145.0,6.35
36,2018,37,Goochland County,199,93.97%,4.52%,101267.0,48401.0,48912.0,1.06
37,2018,38,Grayson County,127,90.55%,7.87%,32108.0,39136.0,39297.0,0.41
38,2018,39,Greene County,226,94.69%,1.77%,45136.0,48720.0,49567.0,1.74
39,2018,40,Greensville County,187,88.77%,8.56%,31905.0,47216.0,48915.0,3.6
40,2018,41,Halifax County,385,94.55%,2.34%,36658.0,37252.0,39840.0,6.95
41,2018,42,Hanover County,1503,95.14%,2.73%,60189.0,51720.0,56106.0,8.48
42,2018,43,Henrico County,4099,92.29%,5.29%,66777.0,48850.0,50743.0,3.87
43,2018,44,Henry County,578,87.89%,7.79%,39258.0,46766.0,46714.0,-0.11
44,2018,45,Highland County,11,100.00%,.00%,43975.0,49377.0,51690.0,4.68
45,2018,46,Isle of Wight County,444,95.50%,2.48%,55554.0,55609.0,54358.0,-2.25
46,2018,48,King George County,333,95.20%,3.60%,52033.0,49676.0,51849.0,4.37
47,2018,49,King and Queen County,38,86.84%,10.53%,43024.0,47766.0,48253.0,1.02
48,2018,50,King William County,167,90.42%,5.99%,46229.0,50506.0,49969.0,-1.06
49,2018,51,Lancaster County,97,88.66%,9.28%,59356.0,41358.0,49563.0,19.84
50,2018,52,Lee County,232,84.48%,9.05%,29940.0,43211.0,45631.0,5.6
51,2018,53,Loudoun County,5876,95.51%,3.28%,78762.0,64184.0,65678.0,2.33
52,2018,54,Louisa County,380,94.21%,4.47%,42439.0,51901.0,52874.0,1.87
53,2018,55,Lunenburg County,99,79.80%,15.15%,32944.0,46559.0,43697.0,-6.15
54,2018,56,Madison County,132,95.45%,.00%,46874.0,42770.0,43419.0,1.52
55,2018,57,Mathews County,103,94.17%,3.88%,56258.0,45370.0,44478.0,-1.97
56,2018,58,Mecklenburg County,334,88.92%,4.79%,37391.0,44212.0,44424.0,0.48
57,2018,59,Middlesex County,107,93.46%,1.87%,51214.0,45379.0,46124.0,1.64
58,2018,60,Montgomery County,767,95.44%,3.39%,37730.0,50605.0,52111.0,2.98
59,2018,62,Nelson County,171,92.40%,3.51%,49831.0,53096.0,53745.0,1.22
60,2018,63,New Kent County,248,93.55%,3.63%,73502.0,45833.0,47200.0,2.98
61,2018,65,Northampton County,116,91.38%,4.31%,48989.0,43396.0,44266.0,2.0
62,2018,66,Northumberland County,118,94.92%,4.24%,51585.0,49814.0,50922.0,2.22
63,2018,67,Nottoway County,145,91.03%,7.59%,34766.0,46481.0,47043.0,1.21
64,2018,68,Orange County,365,93.15%,3.84%,49027.0,50073.0,49447.0,-1.25
65,2018,69,Page County,273,99.63%,.37%,38565.0,46504.0,46911.0,0.88
66,2018,70,Patrick County,197,93.40%,4.57%,34014.0,43528.0,44198.0,1.54
67,2018,71,Pittsylvania County,721,91.26%,6.10%,38212.0,44840.0,45402.0,1.25
68,2018,72,Powhatan County,343,93.88%,1.46%,57177.0,55348.0,55313.0,-0.06
69,2018,73,Prince Edward County,159,89.31%,6.29%,31329.0,41166.0,41302.0,0.33
70,2018,74,Prince George County,485,90.93%,4.33%,38478.0,50814.0,51148.0,0.66
71,2018,75,Prince William County,6739,92.17%,5.58%,,60011.0,65902.0,9.82
72,2018,77,Pulaski County,366,94.81%,3.01%,40169.0,44086.0,45312.0,2.78
73,2018,78,Rappahannock County,77,94.81%,1.30%,66678.0,53250.0,51136.0,-3.97
74,2018,79,Richmond County,81,95.06%,2.47%,36510.0,47968.0,49860.0,3.94
75,2018,80,Roanoke County,1196,95.23%,2.76%,52120.0,49967.0,51942.0,3.95
76,2018,81,Rockbridge County,256,90.63%,6.25%,,49113.0,50873.0,3.58
77,2018,82,Rockingham County,930,94.19%,4.41%,40328.0,49478.0,49469.0,-0.02
78,2018,83,Russell County,289,89.62%,5.19%,33641.0,39102.0,39067.0,-0.09
79,2018,84,Scott County,280,94.64%,3.93%,33901.0,45093.0,46069.0,2.17
80,2018,85,Shenandoah County,477,96.86%,2.10%,45127.0,48195.0,48284.0,0.18
81,2018,86,Smyth County,312,94.87%,3.21%,36942.0,43186.0,43911.0,1.68
82,2018,87,Southampton County,189,86.77%,7.94%,41734.0,45503.0,46782.0,2.81
83,2018,88,Spotsylvania County,1907,91.24%,5.98%,50627.0,53438.0,54284.0,1.58
84,2018,89,Stafford County,2432,94.57%,3.70%,54766.0,54490.0,56462.0,3.62
85,2018,90,Surry County,65,93.85%,6.15%,44477.0,52665.0,51912.0,-1.43
86,2018,91,Sussex County,92,89.13%,4.35%,30962.0,53874.0,50720.0,-5.86
87,2018,92,Tazewell County,425,88.94%,7.06%,38186.0,37498.0,37116.0,-1.02
88,2018,93,Warren County,466,93.78%,3.22%,46392.0,47147.0,48717.0,3.33
89,2018,94,Washington County,563,93.96%,3.37%,40773.0,46105.0,49314.0,6.96
90,2018,95,Westmoreland County,119,93.28%,2.52%,44001.0,43218.0,46103.0,6.68
91,2018,96,Wise County,462,96.32%,3.25%,32799.0,47418.0,46917.0,-1.06
92,2018,97,Wythe County,352,93.47%,4.55%,35474.0,46903.0,47165.0,0.56
93,2018,98,York County,1057,96.88%,2.08%,59345.0,52301.0,52505.0,0.39
94,2018,101,Alexandria City,976,80.64%,10.35%,,74664.0,74738.0,0.1
95,2018,102,Bristol City,162,90.74%,3.70%,40773.0,43904.0,46844.0,6.7
96,2018,103,Buena Vista City,71,87.32%,7.04%,,42310.0,43986.0,3.96
97,2018,104,Charlottesville City,271,92.62%,4.80%,76342.0,56310.0,59231.0,5.19
98,2018,106,Colonial Heights City,211,91.47%,4.27%,,49971.0,50601.0,1.26
99,2018,107,Covington City,73,80.82%,6.85%,39628.0,50119.0,54448.0,8.64
100,2018,108,Danville City,449,80.62%,8.91%,38212.0,48398.0,48665.0,0.55
101,2018,109,Falls Church City,203,98.52%,.99%,,74630.0,77157.0,3.39
102,2018,110,Fredericksburg City,259,82.63%,13.13%,,52807.0,54054.0,2.36
103,2018,111,Galax City,85,92.94%,3.53%,35843.0,48307.0,48092.0,-0.44
104,2018,112,Hampton City,1523,92.58%,1.58%,,48964.0,50312.0,2.75
105,2018,113,Harrisonburg City,458,88.21%,9.39%,40328.0,45039.0,45791.0,1.67
106,2018,114,Hopewell City,286,90.91%,4.90%,38478.0,45630.0,47714.0,4.57
107,2018,115,Lynchburg City,624,86.22%,8.65%,37826.0,47476.0,46794.0,-1.44
108,2018,116,Martinsville City,165,87.27%,5.45%,39258.0,44823.0,44585.0,-0.53
109,2018,117,Newport News City,1897,92.99%,2.11%,,51153.0,52838.0,3.29
110,2018,118,Norfolk City,1938,82.30%,10.01%,,50081.0,50235.0,0.31
111,2018,119,Norton City,64,95.31%,4.69%,32799.0,41641.0,43755.0,5.08
112,2018,120,Petersburg City,277,83.03%,6.14%,,43796.0,46387.0,5.92
113,2018,121,Portsmouth City,969,85.96%,7.64%,,51310.0,52428.0,2.18
114,2018,122,Radford City,130,96.92%,3.08%,37730.0,49649.0,50482.0,1.68
115,2018,123,Richmond City,1474,75.44%,20.15%,,49858.0,49079.0,-1.56
116,2018,124,Roanoke City,919,89.99%,8.16%,,48707.0,51061.0,4.83
117,2018,126,Staunton City,202,89.60%,4.95%,,47104.0,48085.0,2.08
118,2018,127,Suffolk City,1057,86.75%,7.00%,,54131.0,56232.0,3.88
119,2018,128,Virginia Beach City,5381,93.38%,3.75%,,54375.0,54577.0,0.37
120,2018,130,Waynesboro City,195,83.08%,7.69%,,46812.0,47286.0,1.01
121,2018,131,Williamsburg-James City County,941,92.14%,2.76%,,54532.0,53800.0,-1.34
122,2018,132,Winchester City,311,89.07%,7.40%,50774.0,54055.0,55152.0,2.03
123,2018,135,Franklin City,68,92.65%,5.88%,,46948.0,45716.0,-2.62
124,2018,136,Chesapeake City,3274,93.07%,4.28%,,56117.0,57524.0,2.51
125,2018,139,Salem City,306,96.73%,1.63%,52120.0,55776.0,57387.0,2.89
126,2018,142,Poquoson City,161,96.27%,1.24%,59345.0,49254.0,51352.0,4.26
127,2018,143,Manassas City,546,78.21%,14.47%,,61913.0,64390.0,4.0
128,2018,144,Manassas Park City,281,89.32%,9.61%,,59357.0,59208.0,-0.25
129,2018,202,Colonial Beach,57,89.47%,5.26%,,48882.0,50502.0,3.32
130,2018,207,West Point,71,97.18%,1.41%,,40073.0,41285.0,3.03
0,2015,2,Albemarle County,996,94.38%,2.31%,62863.0,53521.0,54586.0,1.99
1,2015,3,Alleghany County,231,88.74%,5.63%,36461.0,48254.0,47477.0,-1.61
2,2015,4,Amelia County,145,93.79%,6.21%,42096.0,43357.0,49019.0,13.06
3,2015,5,Amherst County,307,89.25%,4.56%,34136.0,44779.0,45527.0,1.67
4,2015,6,Appomattox County,184,94.02%,3.80%,35295.0,40810.0,39904.0,-2.22
5,2015,7,Arlington County,1440,92.92%,4.24%,86764.0,73626.0,73846.0,0.3
6,2015,8,Augusta County,810,91.60%,4.69%,,45519.0,47061.0,3.39
7,2015,9,Bath County,46,89.13%,2.17%,54459.0,45628.0,46784.0,2.53
8,2015,10,Bedford County,835,88.74%,5.03%,42471.0,42524.0,43653.0,2.65
9,2015,11,Bland County,81,91.36%,3.70%,33238.0,41685.0,43775.0,5.02
10,2015,12,Botetourt County,402,96.02%,2.24%,46710.0,48866.0,51189.0,4.75
11,2015,13,Brunswick County,160,83.75%,11.88%,30200.0,41333.0,41712.0,0.92
12,2015,14,Buchanan County,268,92.54%,3.73%,31720.0,38468.0,39840.0,3.57
13,2015,15,Buckingham County,154,90.91%,3.90%,27803.0,42521.0,42193.0,-0.77
14,2015,16,Campbell County,654,90.06%,3.67%,35723.0,41998.0,43257.0,3.0
15,2015,17,Caroline County,292,86.64%,6.16%,41264.0,49820.0,47144.0,-5.37
16,2015,18,Carroll County,291,89.00%,7.56%,32963.0,42644.0,44042.0,3.28
17,2015,19,Charles City County,57,98.25%,.00%,41446.0,39107.0,45722.0,16.92
18,2015,20,Charlotte County,176,85.23%,4.55%,,43874.0,44298.0,0.97
19,2015,21,Chesterfield County,4704,91.05%,5.87%,49375.0,48673.0,50087.0,2.9
20,2015,22,Clarke County,166,97.59%,.00%,58921.0,50808.0,50728.0,-0.16
21,2015,23,Craig County,56,91.07%,7.14%,35948.0,41255.0,45277.0,9.75
22,2015,24,Culpeper County,551,92.38%,4.72%,42236.0,48667.0,48769.0,0.21
23,2015,25,Cumberland County,111,90.99%,8.11%,34994.0,45946.0,48069.0,4.62
24,2015,26,Dickenson County,164,82.93%,10.98%,29847.0,38960.0,38948.0,-0.03
25,2015,27,Dinwiddie County,349,81.66%,7.45%,,47078.0,47901.0,1.75
26,2015,28,Essex County,118,92.37%,4.24%,37832.0,47325.0,45007.0,-4.9
27,2015,29,Fairfax County,13761,92.55%,5.57%,,63422.0,64580.0,1.83
28,2015,30,Fauquier County,908,94.05%,2.20%,64065.0,57743.0,56267.0,-2.56
29,2015,31,Floyd County,135,92.59%,4.44%,35062.0,43044.0,44747.0,3.96
30,2015,32,Fluvanna County,306,92.81%,3.27%,40335.0,49612.0,50524.0,1.84
31,2015,33,Franklin County,557,87.97%,5.57%,,43884.0,44974.0,2.48
32,2015,34,Frederick County,995,93.27%,3.52%,45630.0,49368.0,50689.0,2.68
33,2015,35,Giles County,213,88.73%,5.63%,36729.0,38762.0,40759.0,5.15
34,2015,36,Gloucester County,415,93.73%,3.61%,45393.0,48942.0,49567.0,1.28
35,2015,37,Goochland County,187,94.12%,3.74%,89296.0,45314.0,48187.0,6.34
36,2015,38,Grayson County,152,90.13%,7.89%,29193.0,36427.0,37245.0,2.25
37,2015,39,Greene County,211,95.26%,2.84%,40156.0,44158.0,44856.0,1.58
38,2015,40,Greensville County,169,91.72%,5.33%,28673.0,43966.0,46397.0,5.53
39,2015,41,Halifax County,400,88.50%,6.25%,33267.0,47241.0,38883.0,-17.69
40,2015,42,Hanover County,1417,95.20%,3.32%,55285.0,48557.0,48334.0,-0.46
41,2015,43,Henrico County,3682,90.14%,5.38%,59786.0,50594.0,50428.0,-0.33
42,2015,44,Henry County,494,88.46%,5.67%,35978.0,44655.0,44957.0,0.68
43,2015,45,Highland County,12,91.67%,.00%,42645.0,45120.0,46255.0,2.52
44,2015,46,Isle of Wight County,438,92.01%,2.51%,50775.0,54556.0,54956.0,0.73
45,2015,48,King George County,317,95.58%,1.89%,52436.0,45465.0,47457.0,4.38
46,2015,49,King and Queen County,46,89.13%,4.35%,38250.0,47437.0,47586.0,0.31
47,2015,50,King William County,162,90.74%,3.70%,40995.0,44817.0,48618.0,8.48
48,2015,51,Lancaster County,82,90.24%,4.88%,52544.0,44682.0,47480.0,6.26
49,2015,52,Lee County,265,81.51%,8.68%,27435.0,38138.0,39243.0,2.9
50,2015,53,Loudoun County,4793,95.97%,2.15%,70644.0,60798.0,61485.0,1.13
51,2015,54,Louisa County,343,90.38%,6.41%,38924.0,47144.0,48671.0,3.24
52,2015,55,Lunenburg County,105,88.57%,6.67%,30189.0,44865.0,44401.0,-1.03
53,2015,56,Madison County,146,95.21%,2.74%,47360.0,44429.0,44490.0,0.14
54,2015,57,Mathews County,114,92.98%,2.63%,51451.0,43168.0,44931.0,4.08
55,2015,58,Mecklenburg County,347,93.66%,4.03%,34233.0,43010.0,43750.0,1.72
56,2015,59,Middlesex County,95,94.74%,5.26%,45321.0,43217.0,43881.0,1.54
57,2015,60,Montgomery County,732,87.57%,6.97%,33933.0,45504.0,47338.0,4.03
58,2015,62,Nelson County,143,83.92%,6.29%,45787.0,48124.0,50967.0,5.91
59,2015,63,New Kent County,245,92.65%,1.22%,67309.0,45079.0,46996.0,4.25
60,2015,65,Northampton County,96,84.38%,9.38%,42784.0,37823.0,41427.0,9.53
61,2015,66,Northumberland County,109,94.50%,1.83%,46150.0,47221.0,48024.0,1.7
62,2015,67,Nottoway County,173,85.55%,10.40%,32431.0,47575.0,47793.0,0.46
63,2015,68,Orange County,356,90.73%,3.09%,45123.0,48980.0,47465.0,-3.09
64,2015,69,Page County,274,98.18%,.73%,35794.0,42983.0,43358.0,0.87
65,2015,70,Patrick County,198,90.91%,5.56%,31388.0,42543.0,42447.0,-0.22
66,2015,71,Pittsylvania County,730,91.10%,6.16%,34703.0,42260.0,40865.0,-3.3
67,2015,72,Powhatan County,339,92.92%,2.06%,50209.0,49789.0,51846.0,4.13
68,2015,73,Prince Edward County,175,85.71%,9.71%,28446.0,45389.0,42916.0,-5.45
69,2015,74,Prince George County,478,85.15%,9.21%,35734.0,49469.0,51816.0,4.74
70,2015,75,Prince William County,6188,91.42%,6.00%,,61863.0,62046.0,0.3
71,2015,77,Pulaski County,326,90.18%,4.91%,37086.0,43784.0,45209.0,3.25
72,2015,78,Rappahannock County,73,94.52%,2.74%,57479.0,49343.0,51519.0,4.41
73,2015,79,Richmond County,82,92.68%,3.66%,33668.0,49492.0,49185.0,-0.62
74,2015,80,Roanoke County,1118,94.63%,3.13%,48989.0,50886.0,49968.0,-1.8
75,2015,81,Rockbridge County,251,92.43%,5.58%,,47363.0,45971.0,-2.94
76,2015,82,Rockingham County,878,91.23%,4.78%,37181.0,46585.0,47503.0,1.97
77,2015,83,Russell County,320,94.06%,4.38%,30799.0,37116.0,38804.0,4.55
78,2015,84,Scott County,269,94.42%,2.97%,30986.0,47555.0,45962.0,-3.35
79,2015,85,Shenandoah County,487,95.89%,2.05%,41102.0,46751.0,46694.0,-0.12
80,2015,86,Smyth County,344,93.31%,4.65%,34500.0,44590.0,43259.0,-2.98
81,2015,87,Southampton County,194,88.66%,5.67%,37347.0,43509.0,43171.0,-0.78
82,2015,88,Spotsylvania County,1844,90.24%,4.66%,46331.0,53725.0,53178.0,-1.02
83,2015,89,Stafford County,2320,92.50%,4.31%,50760.0,50864.0,53031.0,4.26
84,2015,90,Surry County,78,88.46%,3.85%,41014.0,50813.0,50198.0,-1.21
85,2015,91,Sussex County,83,89.16%,4.82%,28375.0,51839.0,52978.0,2.2
86,2015,92,Tazewell County,437,84.21%,7.55%,34658.0,42062.0,38762.0,-7.85
87,2015,93,Warren County,422,92.65%,2.61%,42294.0,48241.0,47916.0,-0.67
88,2015,94,Washington County,519,94.99%,2.89%,37843.0,47059.0,47414.0,0.75
89,2015,95,Westmoreland County,121,88.43%,6.61%,39429.0,44363.0,44675.0,0.7
90,2015,96,Wise County,438,91.78%,5.71%,30754.0,45692.0,49693.0,8.76
91,2015,97,Wythe County,295,90.51%,5.42%,32863.0,46890.0,47288.0,0.85
92,2015,98,York County,991,94.55%,3.63%,54201.0,48310.0,49883.0,3.26
93,2015,101,Alexandria City,853,79.95%,11.37%,,74682.0,72942.0,-2.33
94,2015,102,Bristol City,167,88.62%,3.59%,37843.0,46660.0,43926.0,-5.86
95,2015,103,Buena Vista City,95,84.21%,8.42%,,42528.0,40483.0,-4.81
96,2015,104,Charlottesville City,305,84.92%,9.51%,62863.0,55114.0,54886.0,-0.41
97,2015,106,Colonial Heights City,214,89.72%,5.61%,,51501.0,51300.0,-0.39
98,2015,107,Covington City,60,81.67%,10.00%,36461.0,49439.0,51141.0,3.44
99,2015,108,Danville City,444,79.05%,9.91%,34703.0,46948.0,47879.0,1.98
100,2015,109,Falls Church City,168,98.81%,.00%,,65583.0,66589.0,1.53
101,2015,110,Fredericksburg City,232,82.76%,11.21%,,47201.0,49493.0,4.86
102,2015,111,Galax City,103,91.26%,2.91%,32963.0,46993.0,46328.0,-1.42
103,2015,112,Hampton City,1548,87.98%,5.04%,,45029.0,47516.0,5.52
104,2015,113,Harrisonburg City,342,89.47%,3.51%,37181.0,44237.0,43974.0,-0.6
105,2015,114,Hopewell City,293,81.91%,13.31%,35734.0,46797.0,48013.0,2.6
106,2015,115,Lynchburg City,627,82.30%,7.18%,35723.0,41089.0,39037.0,-4.99
107,2015,116,Martinsville City,157,80.89%,7.01%,35978.0,44623.0,43210.0,-3.17
